Model,Train_R2,Val_R2,Test_R2,R2_Gap,Train_RMSE,Val_RMSE,Test_RMSE,RMSE_Gap,Train_Spear,Val_Spear,Test_Spear,Spear_Gap
Linear Regression,0.6875371959115958,0.6906047416320047,0.6891738057076641,-0.001636609796068278,0.07054164466292943,0.07010879907448468,0.07044073135476829,-0.00010091330816114352,0.8581886554641677,0.8571474258006815,0.8581211310164159,6.752444775182109e-05
Random Forest,0.887702187708607,0.8408540967992733,0.8383184018802362,0.049383785828370774,0.042289452817432745,0.050282102935911455,0.050803700550317195,0.00851424773288445,0.945215381905314,0.9297529168109723,0.9294162859802904,0.0157990959250236
Gradient Boosting,0.8464257807478798,0.8440961015062702,0.8422535366419291,0.004172244105950629,0.0494544727476359,0.0497673124784523,0.05018164184927019,0.000727169101634291,0.9324804414785328,0.9303029458733619,0.9303208048360121,0.0021596366425207236
XGBoost,0.849085658770748,0.8448664510422657,0.8429307457567654,0.0061549130139826325,0.04902433080362951,0.04964420554253897,0.05007381053572122,0.0010494797320917126,0.9333803240031232,0.9307682583987156,0.9306148981968991,0.0027654258062240755
