Model,RMSE,MAE,R²,Spearman,Spearman_p
XGBoost,0.055762789018463606,0.036559675051993985,0.7918118269545151,0.8695172133788526,0.0
Gradient Boosting,0.05577901181843632,0.03658254160672522,0.7916906749665277,0.8693978009979898,0.0
Random Forest,0.05618047991701827,0.03650177777782985,0.7886812810480527,0.8675383566343716,0.0
Linear Regression,0.06221357359726572,0.041440851220377946,0.7408582565924222,0.8096712355705721,0.0
