K,NDCG_Trust,NDCG_Avg,NDCG_Count,Prec_Trust,Prec_Avg,Prec_Count
5,0.972668,0.821137,0.915985,1.0,0.6,1.0
10,0.964585,0.859036,0.90113,1.0,0.8,1.0
20,0.956566,0.870327,0.897173,1.0,0.85,1.0
